Player,team,position,selected_by_percent,starts_per_90,total_points,bonus,points_per_game,expected_goals,goals_scored,expected_goal_involvements_per_90,value_season,value_season,value_form,now_cost,clean_sheets,yellow_cards,%of_team_points,influence,creativity,threat,penalties_order,corners_and_indirect_freekicks_order,performance_xG_off
Gabriel Fernando de Jesus,Arsenal,Forward,7.3,1.05,125,17,4.8,14.24,11,0.75,15.6,15.6,0.0,8.0,9,6,5.19318653926049,0.47525179856115113,0.23453947368421052,0.7293150684931506,2.0,,-3.24
Eddie Nketiah,Arsenal,Forward,2.7,0.76,63,5,2.1,7.89,4,0.77,11.5,11.5,0.0,5.5,2,3,2.617366015787287,0.1535251798561151,0.07044956140350876,0.3326027397260274,,,-3.8899999999999997
Cameron Archer,Aston Villa,Forward,7.9,0.0,6,0,1.0,0.0,0,0.02,1.3,1.3,0.0,4.5,0,0,0.38022813688212925,0.0012949640287769784,0.0013157894736842105,0.003287671232876712,,,0.0
Jhon Durán,Aston Villa,Forward,0.1,0.0,11,0,0.9,0.59,0,0.43,2.2,2.2,0.0,5.0,0,1,0.697084917617237,0.00920863309352518,0.007346491228070175,0.02794520547945205,,,-0.59
Ollie Watkins,Aston Villa,Forward,23.6,1.04,175,25,4.7,16.15,15,0.54,21.9,21.9,0.0,8.0,13,4,11.08998732572877,0.602589928057554,0.23042763157894736,0.7167123287671232,1.0,,-1.1499999999999986
Kieffer Moore,Bournemouth,Forward,0.5,0.85,57,3,2.1,4.18,4,0.34,11.4,11.4,0.0,5.0,3,1,5.15370705244123,0.15784172661870505,0.05487938596491228,0.15342465753424656,,,-0.17999999999999972
Antoine Semenyo,Bournemouth,Forward,1.7,0.72,18,1,1.6,0.36,1,0.14,4.0,4.0,0.0,4.5,0,0,1.62748643761302,0.03597122302158273,0.014528508771929825,0.017534246575342465,,,0.64
Dominic Solanke,Bournemouth,Forward,3.0,1.01,130,14,3.9,9.09,6,0.36,20.0,20.0,0.0,6.5,8,2,11.754068716094032,0.38043165467625895,0.15466008771929826,0.576986301369863,1.0,,-3.09
Halil Dervişoğlu,Brentford,Forward,0.0,0.0,4,0,4.0,0.03,0,0.45,0.9,0.9,0.0,4.5,0,0,0.23054755043227668,0.0,0.0,0.005479452054794521,,,-0.03
Ivan Toney,Brentford,Forward,0.2,1.01,182,35,5.5,18.74,20,0.68,22.8,22.8,0.0,8.0,10,9,10.489913544668587,0.6667625899280575,0.2326206140350877,0.6794520547945205,1.0,,1.2600000000000016
Yoane Wissa,Brentford,Forward,4.7,0.91,111,6,2.9,5.65,7,0.38,18.5,18.5,0.0,6.0,7,3,6.397694524495677,0.2634532374100719,0.10158991228070176,0.23232876712328765,,,1.3499999999999996
Evan Ferguson,Brighton,Forward,9.0,0.96,65,8,3.4,5.44,6,0.57,10.8,10.8,0.0,6.0,6,1,4.492052522460263,0.20589928057553958,0.08245614035087719,0.19780821917808217,,,0.5599999999999996
Deniz Undav,Brighton,Forward,0.2,0.88,52,4,2.4,4.89,5,0.9,9.5,9.5,0.0,5.5,2,2,3.59364201796821,0.14129496402877698,0.06798245614035087,0.20383561643835615,,,0.11000000000000032
