Player,team,position,selected_by_percent,starts_per_90,total_points,bonus,points_per_game,form,saves,saves_per_90,expected_goals_conceded,goals_conceded,clean_sheets_per_90,value_season,value_season,value_form,now_cost,clean_sheets,penalties_saved,yellow_cards,%of_team_points,performance_xG_def
Aaron Ramsdale,Arsenal,Goalkeeper,20.3,1.0,143,9,3.8,0.0,94,2.47,42.31,43,0.37,28.6,28.6,0.0,5.0,14,0,1,5.941005400914,0.6899999999999977
Emiliano Martínez Romero,Aston Villa,Goalkeeper,8.0,1.03,135,15,3.8,0.0,98,2.81,43.46,38,0.32,27.0,27.0,0.0,5.0,11,1,7,8.555133079847907,-5.460000000000001
Robin Olsen,Aston Villa,Goalkeeper,0.9,0.64,10,1,2.5,0.0,11,3.54,8.56,8,0.32,2.5,2.5,0.0,4.0,1,0,0,0.6337135614702154,-0.5600000000000005
Norberto Murara Neto,Bournemouth,Goalkeeper,0.8,1.02,93,9,3.4,0.0,100,3.77,44.7,39,0.23,20.7,20.7,0.0,4.5,6,0,4,8.408679927667269,-5.700000000000003
Mark Travers,Bournemouth,Goalkeeper,0.6,0.96,28,1,2.3,0.0,36,3.13,19.68,32,0.17,7.0,7.0,0.0,4.0,2,0,0,2.5316455696202533,12.32
David Raya Martin,Brentford,Goalkeeper,7.7,1.0,166,20,4.4,0.0,154,4.05,50.12,46,0.32,33.2,33.2,0.0,5.0,12,0,1,9.56772334293948,-4.119999999999997
Jason Steele,Brighton,Goalkeeper,6.4,1.0,65,8,4.3,0.0,37,2.47,23.46,23,0.4,14.4,14.4,0.0,4.5,6,1,1,4.492052522460263,-0.46000000000000085
Robert Sánchez,Chelsea,Goalkeeper,4.0,1.0,82,10,3.6,0.0,48,2.09,27.6,30,0.26,18.2,18.2,0.0,4.5,6,1,2,7.495429616087751,2.3999999999999986
Kepa Arrizabalaga,Chelsea,Goalkeeper,1.5,1.02,118,15,4.1,0.0,91,3.19,38.34,33,0.32,23.6,23.6,0.0,5.0,9,0,1,10.786106032906764,-5.340000000000003
Vicente Guaita,Crystal Palace,Goalkeeper,1.1,1.0,99,10,3.7,0.0,85,3.15,38.2,34,0.22,22.0,22.0,0.0,4.5,6,0,1,7.132564841498559,-4.200000000000003
