Player,team,position,selected_by_percent,starts_per_90,total_points,bonus,points_per_game,expected_goals_conceded,goals_conceded,clean_sheets_per_90,expected_goals,goals_scored,expected_goal_involvements_per_90,value_season,value_season,value_form,now_cost,clean_sheets,yellow_cards,%of_team_points,influence,creativity,threat,penalties_order,corners_and_indirect_freekicks_order,performance_xG_off
Mohamed Elneny,Arsenal,Midfielder,0.2,0.81,6,0,1.2,1.29,2,0.0,0.0,0,0.03,1.3,1.3,0.0,4.5,0,0,0.24927295388450355,0.003309352517985611,0.0029605263157894738,0.0,,,0.0
Fábio Ferreira Vieira,Arsenal,Midfielder,0.1,0.54,40,2,1.8,5.28,5,0.36,0.86,1,0.4,7.3,7.3,0.0,5.5,2,0,1.6618196925633568,0.08345323741007195,0.09901315789473683,0.0673972602739726,,,0.14
Kai Havertz,Arsenal,Midfielder,5.3,1.05,102,13,2.9,38.25,31,0.32,11.58,7,0.51,13.6,13.6,0.0,7.5,9,5,4.23764021603656,0.3427338129496403,0.2941885964912281,0.5556164383561644,,,-4.58
Jorge Luiz Frello Filho,Arsenal,Midfielder,0.3,1.02,79,5,2.5,24.41,23,0.38,1.89,2,0.12,14.4,14.4,0.0,5.5,9,4,3.2820938928126298,0.2880575539568345,0.14331140350877192,0.053698630136986295,,,0.1100000000000001
Marcus Oliveira Alencar,Arsenal,Midfielder,0.2,0.0,1,0,1.0,0.0,0,0.0,0.0,0,0.0,0.2,0.2,0.0,4.5,0,0,0.04154549231408392,0.0,0.00010964912280701755,0.0,,,0.0
Gabriel Martinelli Silva,Arsenal,Midfielder,14.0,1.1,198,18,5.5,36.16,33,0.45,9.15,15,0.53,24.8,24.8,0.0,8.0,14,3,8.226007478188617,0.607338129496403,0.459484649122807,0.7123287671232876,3.0,4.0,5.85
Martin Ødegaard,Arsenal,Midfielder,22.2,1.06,212,30,5.7,37.94,38,0.37,9.75,15,0.51,24.9,24.9,0.0,8.5,13,4,8.807644370585791,0.699136690647482,0.6251644736842105,0.5117808219178082,,3.0,5.25
Thomas Partey,Arsenal,Midfielder,0.3,1.02,86,6,2.6,32.27,28,0.4,2.59,3,0.17,17.2,17.2,0.0,5.0,11,5,3.5729123390112174,0.3788489208633094,0.24347587719298244,0.13260273972602737,,,0.41000000000000014
Bukayo Saka,Arsenal,Midfielder,56.6,1.05,202,19,5.3,39.66,42,0.34,11.49,14,0.49,23.8,23.8,0.0,8.5,12,6,8.392189447444952,0.7296402877697842,0.6064144736842104,0.6652054794520548,1.0,1.0,2.51
Albert Sambi Lokonga,Arsenal,Midfielder,0.0,0.99,23,0,1.5,8.12,8,0.25,0.17,0,0.04,4.6,4.6,0.0,5.0,2,2,0.9555463232239303,0.07079136690647482,0.03135964912280702,0.010958904109589041,,,-0.17
Emile Smith Rowe,Arsenal,Midfielder,0.2,0.0,18,0,1.5,2.71,5,0.0,0.25,0,0.45,3.3,3.3,0.0,5.5,0,0,0.7478188616535106,0.03870503597122302,0.04078947368421053,0.022465753424657533,,,-0.25
