Player,team,penalties_order
Gabriel Fernando de Jesus,Arsenal,2.0
Bukayo Saka,Arsenal,1.0
Philippe Coutinho Correia,Aston Villa,2.0
Ollie Watkins,Aston Villa,1.0
Dominic Solanke,Bournemouth,1.0
Bryan Mbeumo,Brentford,2.0
Ivan Toney,Brentford,1.0
Pascal Groß,Brighton,2.0
Reece James,Chelsea,2.0
Eberechi Eze,Crystal Palace,2.0
Dominic Calvert-Lewin,Everton,1.0
Andreas Hoelgebaum Pereira,Fulham,2.0
Aleksandar Mitrović,Fulham,1.0
Mohamed Salah,Liverpool,2.0
Erling Haaland,Man City,1.0
Bruno Borges Fernandes,Man Utd,1.0
Anthony Martial,Man Utd,2.0
Alexander Isak,Newcastle,2.0
Callum Wilson,Newcastle,1.0
Morgan Gibbs-White,Nott'm Forest,1.0
Brennan Johnson,Nott'm Forest,2.0
Harry Kane,Spurs,1.0
Saïd Benrahma,West Ham,2.0
Matheus Santos Carneiro Da Cunha,Wolves,1.0
