team_name,team_total_points,team_bonus,team_goals_scored,team_assists,team_expected_goals,team_expected_assists,team_performance_xG,team_performance_xGa
Arsenal,2407,214,104,82,93.99000000000001,53.93,10.009999999999991,28.07
Newcastle,2059,170,78,59,83.88,47.019999999999996,-5.8799999999999955,11.980000000000004
Man City,1972,188,85,81,72.74,54.879999999999995,12.260000000000005,26.120000000000005
Liverpool,1788,148,67,62,76.17,52.25,-9.170000000000002,9.75
Man Utd,1747,165,58,51,65.41,43.65,-7.409999999999997,7.350000000000001
Brentford,1735,138,55,50,58.17,30.42,-3.1700000000000017,19.58
Spurs,1728,136,79,65,63.99,38.64,15.009999999999998,26.36
Aston Villa,1578,131,45,48,47.91,32.96,-2.9099999999999966,15.04
Brighton,1447,110,50,56,56.099999999999994,38.58,-6.099999999999994,17.42
Fulham,1429,109,46,42,45.96,21.68,0.03999999999999915,20.32
Crystal Palace,1388,92,36,29,34.95,23.42,1.0499999999999972,5.579999999999998
West Ham,1375,102,42,34,52.63,24.3,-10.630000000000003,9.7
Everton,1261,92,28,28,40.0,25.91,-12.0,2.09
Nott'm Forest,1164,84,38,30,39.72,20.02,-1.7199999999999989,9.98
Bournemouth,1106,86,30,28,34.73,20.45,-4.729999999999997,7.550000000000001
Chelsea,1094,85,18,25,27.81,23.61,-9.809999999999999,1.3900000000000006
Wolves,1058,81,20,13,23.650000000000002,12.87,-3.650000000000002,0.13000000000000078
Burnley,25,0,0,1,2.02,1.16,-2.02,-0.15999999999999992
